from_stage,to_stage,pipeline_id,variable,r_delta_maps,rmse_delta_maps
S3_regrid,S4_dor,test8_v2,pr,0.8931420296427924,2.7368252277374268
S3_regrid,S4_dor,test8_v3,pr,0.8797261606242139,2.8268887996673584
S3_regrid,S4_dor,test8_v4,pr,0.8794479362786713,2.844270706176758
S3_regrid,S4_dor,test8_v2,tasmax,0.9724395492643316,0.015093542635440826
S3_regrid,S4_dor,test8_v3,tasmax,0.9724395492643316,0.015093542635440826
S3_regrid,S4_dor,test8_v4,tasmax,0.9724395492643316,0.015093542635440826
S3_regrid,S4_dor,test8_v2,tasmin,0.9796997541000181,0.01324414275586605
S3_regrid,S4_dor,test8_v3,tasmin,0.9796997541000181,0.01324414275586605
S3_regrid,S4_dor,test8_v4,tasmin,0.9796997541000181,0.01324414275586605
S3_regrid,S4_dor,test8_v2,rsds,0.9951986817423619,0.10737422108650208
S3_regrid,S4_dor,test8_v3,rsds,0.9951986817423619,0.10737422108650208
S3_regrid,S4_dor,test8_v4,rsds,0.9951986817423619,0.10737422108650208
S3_regrid,S4_dor,test8_v2,wind,0.9781483841541407,0.010476901195943356
S3_regrid,S4_dor,test8_v3,wind,0.9781953181981324,0.010461968369781971
S3_regrid,S4_dor,test8_v4,wind,0.9781953181981324,0.010461968369781971
S3_regrid,S4_dor,test8_v2,huss,0.9931531004256111,5.124392373545561e-06
S3_regrid,S4_dor,test8_v3,huss,0.9931531004256111,5.124392373545561e-06
S3_regrid,S4_dor,test8_v4,huss,0.9931531004256111,5.124392373545561e-06
