stage,product,pipeline_id,variable,mean_hist,mean_fut,signal,signal_kind,std_spatial_delta,ext99_hist,ext99_fut,delta_ext99,note
S1_raw,Cropped_Iowa_Raw,,pr,2.565720165934582,2.607069922766907,1.6116237602687544,pct,3.887872944264244,31.775545692443824,32.93454936981199,3.6474705693024134,
S2_bc,BCPC_mv_otbc_physics_corrected,,pr,2.5228916197427753,2.4111543912251117,-4.428934980756994,pct,5.7512991873931965,31.868282165527006,30.918087100982653,-2.981632519788524,
S3_regrid,cmip6_inputs,,pr,2.5363471508026123,2.416611909866333,-4.720774987413778,pct,5.329659938812256,30.165610713958415,29.23986612319908,-3.068874021940282,
external,LOCA2,,pr,2.3310139179229736,2.347655773162842,0.7139319977787828,pct,4.92261266708374,33.09604667663575,33.902752914428675,2.4374700872095145,
external,NEX,,pr,2.3011977672576904,2.3115973472595215,0.4519202627988328,pct,3.5954678058624268,26.016843814849835,26.46418571472168,1.7194318536650988,
S4_dor,DOR,test8_v2,pr,2.3219187259674072,2.2423014640808105,-3.428942708540994,pct,5.203436374664307,30.940242443084628,30.295482635498047,-2.083887379918281,
S4_dor,DOR,test8_v3,pr,2.502220630645752,2.414428949356079,-3.5085508120013764,pct,5.1546196937561035,32.925907974243046,32.22978080749476,-2.114223143956495,
S4_dor,DOR,test8_v4,pr,2.5031380653381348,2.4155914783477783,-3.497473398198503,pct,5.198450088500977,33.232140426635624,32.53001636505121,-2.112786153920565,
S1_raw,Cropped_Iowa_Raw,,tasmax,14.314368704762666,15.521363242778163,1.206994538015497,abs,0.11386419132418718,36.8093893432617,38.451350097656245,1.641960754394546,
S2_bc,BCPC_mv_otbc_physics_corrected,,tasmax,15.600928085294887,16.94290145576176,1.3419733704668726,abs,0.06347612051823542,38.03778598785396,40.03070831298828,1.992922325134323,
S3_regrid,cmip6_inputs,,tasmax,15.587653160095215,16.930360794067383,1.342707633972168,abs,0.05850526690483093,37.72526931762695,39.6624870300293,1.9372177124023438,
external,LOCA2,,tasmax,288.65386962890625,289.86962890625,1.21575927734375,abs,0.11651773750782013,309.2274169921875,310.89349365234375,1.66607666015625,
external,NEX,,tasmax,289.10894775390625,290.29443359375,1.18548583984375,abs,0.10905792564153671,309.5375061035156,311.38116485595674,1.8436587524411152,
S4_dor,DOR,test8_v2,tasmax,288.76025390625,290.1011962890625,1.3409423828125,abs,0.0630188062787056,310.68267822265625,312.6466979980469,1.964019775390625,
S4_dor,DOR,test8_v3,tasmax,288.76025390625,290.1011962890625,1.3409423828125,abs,0.0630188062787056,310.68267822265625,312.6466979980469,1.964019775390625,
S4_dor,DOR,test8_v4,tasmax,288.76025390625,290.1011962890625,1.3409423828125,abs,0.0630188062787056,310.68267822265625,312.6466979980469,1.964019775390625,
S1_raw,Cropped_Iowa_Raw,,tasmin,6.085907425317672,7.367169803932992,1.2812623786153194,abs,0.06493565428345517,28.05653045654296,29.771301574706996,1.7147711181640375,
S2_bc,BCPC_mv_otbc_physics_corrected,,tasmin,3.669273662602675,4.803830729150327,1.1345570665476523,abs,0.07155314614159028,23.883655548095703,24.898900680541985,1.0152451324462817,
S3_regrid,cmip6_inputs,,tasmin,3.7312140464782715,4.861733436584473,1.1305193901062012,abs,0.06556875258684158,23.658124923706055,24.57655906677246,0.9184341430664062,
external,LOCA2,,tasmin,276.57977294921875,277.84173583984375,1.261962890625,abs,0.07426204532384872,296.6455078125,298.1966857910156,1.551177978515625,
external,NEX,,tasmin,277.1036682128906,278.3864440917969,1.28277587890625,abs,0.06578860431909561,297.9437255859375,299.3733215332031,1.429595947265625,
S4_dor,DOR,test8_v2,tasmin,276.9132995605469,278.04437255859375,1.131072998046875,abs,0.06560163199901581,296.6135559082031,297.5180850219722,0.9045291137690583,
S4_dor,DOR,test8_v3,tasmin,276.9132995605469,278.04437255859375,1.131072998046875,abs,0.06560163199901581,296.6135559082031,297.5180850219722,0.9045291137690583,
S4_dor,DOR,test8_v4,tasmin,276.9132995605469,278.04437255859375,1.131072998046875,abs,0.06560163199901581,296.6135559082031,297.5180850219722,0.9045291137690583,
S1_raw,Cropped_Iowa_Raw,,rsds,173.10929928580143,176.5807815422023,3.4714822564008614,abs,1.8566403966728302,353.66845703125,358.3848999023437,4.7164428710937045,
S2_bc,BCPC_mv_otbc_physics_corrected,,rsds,172.8397818753502,176.96921545464207,4.129433579291856,abs,1.1803925170210896,323.2322723388671,326.1345883178711,2.9023159790039585,
S3_regrid,cmip6_inputs,,rsds,172.69366455078125,176.8317108154297,4.1380462646484375,abs,1.080560564994812,321.4411315917969,324.4667663574219,3.025634765625,
external,NEX,,rsds,209.89279174804688,212.641357421875,2.748565673828125,abs,1.4247865676879883,365.625732421875,372.2147216796875,6.5889892578125,
S4_dor,DOR,test8_v2,rsds,172.45640563964844,176.60223388671875,4.1458282470703125,abs,1.0977104902267456,323.0677185058594,326.41448974609375,3.346771240234375,
S4_dor,DOR,test8_v3,rsds,172.45640563964844,176.60223388671875,4.1458282470703125,abs,1.0977104902267456,323.0677185058594,326.41448974609375,3.346771240234375,
S4_dor,DOR,test8_v4,rsds,172.45640563964844,176.60223388671875,4.1458282470703125,abs,1.0977104902267456,323.0677185058594,326.41448974609375,3.346771240234375,
S1_raw,Cropped_Iowa_Raw,,wind,4.025221741772612,3.8078487915881416,-0.21737295018447078,abs,0.08879463192958771,11.260837526321403,10.531925821304316,-0.7289117050170866,
S2_bc,BCPC_mv_otbc_physics_corrected,,wind,4.152941609247769,4.029368831073428,-0.1235727781743412,abs,0.05399953694872704,8.560720405578593,8.390960302352903,-0.16976010322568946,
S3_regrid,cmip6_inputs,,wind,4.149602890014648,4.020986557006836,-0.1286163330078125,abs,0.04863198474049568,8.269238471984863,8.082198143005371,-0.1870403289794922,
external,NEX,,wind,3.652770519256592,3.470776081085205,-0.18199443817138672,abs,0.05663466081023216,8.227755546569824,7.717740063667293,-0.5100154829025314,
S4_dor,DOR,test8_v2,wind,4.204686641693115,4.075196266174316,-0.12949037551879883,abs,0.050181031227111816,8.613884553909287,8.40934144020079,-0.2045431137084961,
S4_dor,DOR,test8_v3,wind,4.204739093780518,4.075250625610352,-0.12948846817016602,abs,0.050165217369794846,8.614357576370224,8.409799575805664,-0.20455800056456042,
S4_dor,DOR,test8_v4,wind,4.204739093780518,4.075250625610352,-0.12948846817016602,abs,0.050165217369794846,8.614357576370224,8.409799575805664,-0.20455800056456042,
S1_raw,Cropped_Iowa_Raw,,huss,0.0069605041339422715,0.007373621926298331,0.0004131177923560594,abs,5.285551469558619e-05,0.018569636922329665,0.01905972382053733,0.0004900868982076652,
S2_bc,BCPC_mv_otbc_physics_corrected,,huss,0.006191243328292975,0.006567835362981334,0.0003765920346883592,abs,4.9267252013485656e-05,0.016744373422116033,0.01714118367061019,0.0003968102484941567,
S3_regrid,cmip6_inputs,,huss,0.006212477572262287,0.006590524222701788,0.0003780466504395008,abs,4.435291339177638e-05,0.016645776107907295,0.017038550227880478,0.0003927741199731827,
external,NEX,,huss,0.007512987125664949,0.007970047183334827,0.000457060057669878,abs,6.991704140091315e-05,0.019746538251638412,0.020549932513385993,0.0008033942617475809,
S4_dor,DOR,test8_v2,huss,0.0064923507161438465,0.006870108190923929,0.0003777574747800827,abs,4.43196295236703e-05,0.01720183715224266,0.017553973216563434,0.0003521360643207738,
S4_dor,DOR,test8_v3,huss,0.0064923507161438465,0.006870108190923929,0.0003777574747800827,abs,4.43196295236703e-05,0.01720183715224266,0.017553973216563434,0.0003521360643207738,
S4_dor,DOR,test8_v4,huss,0.0064923507161438465,0.006870108190923929,0.0003777574747800827,abs,4.43196295236703e-05,0.01720183715224266,0.017553973216563434,0.0003521360643207738,
