from_stage,to_stage,pipeline_id,variable,r_delta_maps,rmse_delta_maps
S3_regrid,S4_dor,test8_v2,pr,0.893345507636888,2.73062801361084
S3_regrid,S4_dor,test8_v3,pr,0.8801702355588154,2.8165366649627686
S3_regrid,S4_dor,test8_v4,pr,0.8798225993407616,2.8347151279449463
S3_regrid,S4_dor,test8_v2,tasmax,0.9716686982450252,0.015248221345245838
S3_regrid,S4_dor,test8_v3,tasmax,0.9716686982450252,0.015248221345245838
S3_regrid,S4_dor,test8_v4,tasmax,0.9716686982450252,0.015248221345245838
S3_regrid,S4_dor,test8_v2,tasmin,0.9793036289975625,0.013354673981666565
S3_regrid,S4_dor,test8_v3,tasmin,0.9793036289975625,0.013354673981666565
S3_regrid,S4_dor,test8_v4,tasmin,0.9793036289975625,0.013354673981666565
S3_regrid,S4_dor,test8_v2,rsds,0.995270166955231,0.10758771002292633
S3_regrid,S4_dor,test8_v3,rsds,0.995270166955231,0.10758771002292633
S3_regrid,S4_dor,test8_v4,rsds,0.995270166955231,0.10758771002292633
S3_regrid,S4_dor,test8_v2,wind,0.9779308494641853,0.010529923252761364
S3_regrid,S4_dor,test8_v3,wind,0.9779773295823074,0.010515143163502216
S3_regrid,S4_dor,test8_v4,wind,0.9779773295823074,0.010515143163502216
S3_regrid,S4_dor,test8_v2,huss,0.9932573662351363,5.1568331400630996e-06
S3_regrid,S4_dor,test8_v3,huss,0.9932573662351363,5.1568331400630996e-06
S3_regrid,S4_dor,test8_v4,huss,0.9932573662351363,5.1568331400630996e-06
