variable,window,product,pipeline_id,metric,value,note
pr,validation_2006_2014,GridMET,,pooled_variance,47.879981994628906,
pr,validation_2006_2014,GridMET,,p01_pooled,0.0,
pr,validation_2006_2014,GridMET,,p99_pooled,34.121002197265625,
pr,validation_2006_2014,GridMET,,lag1_domain_mean,0.36412358632132047,
pr,validation_2006_2014,GridMET,,seasonal_range_domain_mean,3.5772972106933594,
pr,validation_2006_2014,GridMET,,wdf_pct,33.28963345713755,
pr,validation_2006_2014,GridMET,,wet_day_intensity_mmday,7.303047180175781,
pr,validation_2006_2014,GridMET,,pooled_skew,5.274576663970947,
pr,validation_2006_2014,GridMET,,pooled_cv,2.8458030223846436,
pr,validation_2006_2014,S3_cmip6_inputs,,pooled_variance,37.14628982543945,
pr,validation_2006_2014,S3_cmip6_inputs,,p01_pooled,0.0,
pr,validation_2006_2014,S3_cmip6_inputs,,p99_pooled,30.32658576965332,
pr,validation_2006_2014,S3_cmip6_inputs,,lag1_domain_mean,0.4925198171654196,
pr,validation_2006_2014,S3_cmip6_inputs,,seasonal_range_domain_mean,2.9384028911590576,
pr,validation_2006_2014,S3_cmip6_inputs,,wdf_pct,51.08526366786237,
pr,validation_2006_2014,S3_cmip6_inputs,,wet_day_intensity_mmday,4.932094097137451,
pr,validation_2006_2014,S3_cmip6_inputs,,pooled_skew,4.462402820587158,
pr,validation_2006_2014,S3_cmip6_inputs,,pooled_cv,2.4116528034210205,
pr,validation_2006_2014,S3_cmip6_inputs,,KGE_vs_GridMET,0.017393109538848317,
pr,validation_2006_2014,S3_cmip6_inputs,,RMSE_vs_GridMET,9.103517532348633,
pr,validation_2006_2014,DOR,test8_v2,pooled_variance,44.3648796081543,
pr,validation_2006_2014,DOR,test8_v2,p01_pooled,0.0,
pr,validation_2006_2014,DOR,test8_v2,p99_pooled,31.924440383911133,
pr,validation_2006_2014,DOR,test8_v2,lag1_domain_mean,0.4210378826000175,
pr,validation_2006_2014,DOR,test8_v2,seasonal_range_domain_mean,2.5441179275512695,
pr,validation_2006_2014,DOR,test8_v2,wdf_pct,33.655204657600535,
pr,validation_2006_2014,DOR,test8_v2,wet_day_intensity_mmday,6.997304916381836,
pr,validation_2006_2014,DOR,test8_v2,pooled_skew,6.306246280670166,
pr,validation_2006_2014,DOR,test8_v2,pooled_cv,2.8279519081115723,
pr,validation_2006_2014,DOR,test8_v2,KGE_vs_GridMET,0.024015327924490792,
pr,validation_2006_2014,DOR,test8_v3,pooled_variance,52.46886444091797,
pr,validation_2006_2014,DOR,test8_v3,p01_pooled,0.0,
pr,validation_2006_2014,DOR,test8_v3,p99_pooled,34.15478515625,
pr,validation_2006_2014,DOR,test8_v3,lag1_domain_mean,0.4204444464098843,
pr,validation_2006_2014,DOR,test8_v3,seasonal_range_domain_mean,2.8670854568481445,
pr,validation_2006_2014,DOR,test8_v3,wdf_pct,37.200133681590614,
pr,validation_2006_2014,DOR,test8_v3,wet_day_intensity_mmday,6.83627986907959,
pr,validation_2006_2014,DOR,test8_v3,pooled_skew,6.729002952575684,
pr,validation_2006_2014,DOR,test8_v3,pooled_cv,2.8476603031158447,
pr,validation_2006_2014,DOR,test8_v3,KGE_vs_GridMET,0.023956603910694096,
pr,validation_2006_2014,DOR,test8_v4,pooled_variance,53.59882736206055,
pr,validation_2006_2014,DOR,test8_v4,p01_pooled,0.0,
pr,validation_2006_2014,DOR,test8_v4,p99_pooled,34.48102951049805,
pr,validation_2006_2014,DOR,test8_v4,lag1_domain_mean,0.41899369392399166,
pr,validation_2006_2014,DOR,test8_v4,seasonal_range_domain_mean,2.8698105812072754,
pr,validation_2006_2014,DOR,test8_v4,wdf_pct,34.00462007314337,
pr,validation_2006_2014,DOR,test8_v4,wet_day_intensity_mmday,7.489168643951416,
pr,validation_2006_2014,DOR,test8_v4,pooled_skew,6.717371940612793,
pr,validation_2006_2014,DOR,test8_v4,pooled_cv,2.8743200302124023,
pr,validation_2006_2014,DOR,test8_v4,KGE_vs_GridMET,0.022970783378770343,
pr,validation_2006_2014,LOCA2,,pooled_variance,43.81877899169922,
pr,validation_2006_2014,LOCA2,,p01_pooled,0.0,
pr,validation_2006_2014,LOCA2,,p99_pooled,32.550994873046875,
pr,validation_2006_2014,LOCA2,,lag1_domain_mean,0.44077794087425953,
pr,validation_2006_2014,LOCA2,,seasonal_range_domain_mean,2.7693445682525635,
pr,validation_2006_2014,LOCA2,,wdf_pct,29.522624315954733,
pr,validation_2006_2014,LOCA2,,wet_day_intensity_mmday,7.778914451599121,
pr,validation_2006_2014,LOCA2,,pooled_skew,5.489675045013428,
pr,validation_2006_2014,LOCA2,,pooled_cv,2.8824124336242676,
pr,validation_2006_2014,LOCA2,,KGE_vs_GridMET,0.0229449528888217,
pr,validation_2006_2014,NEX,,pooled_variance,,missing
tasmax,validation_2006_2014,GridMET,,pooled_variance,169.212890625,
tasmax,validation_2006_2014,GridMET,,p01_pooled,260.0150146484375,
tasmax,validation_2006_2014,GridMET,,p99_pooled,312.48724365234375,
tasmax,validation_2006_2014,GridMET,,lag1_domain_mean,0.9624415439643909,
tasmax,validation_2006_2014,GridMET,,seasonal_range_domain_mean,31.201141357421875,
tasmax,validation_2006_2014,GridMET,,pooled_skew,-0.2998288571834564,
tasmax,validation_2006_2014,GridMET,,pooled_cv,0.045036133378744125,
tasmax,validation_2006_2014,S3_cmip6_inputs,,pooled_variance,165.68115234375,
tasmax,validation_2006_2014,S3_cmip6_inputs,,p01_pooled,-12.99531364440918,
tasmax,validation_2006_2014,S3_cmip6_inputs,,p99_pooled,38.863731384277344,
tasmax,validation_2006_2014,S3_cmip6_inputs,,lag1_domain_mean,0.965329362875508,
tasmax,validation_2006_2014,S3_cmip6_inputs,,seasonal_range_domain_mean,32.037044525146484,
tasmax,validation_2006_2014,S3_cmip6_inputs,,pooled_skew,-0.31586986780166626,
tasmax,validation_2006_2014,S3_cmip6_inputs,,pooled_cv,0.795089840888977,
tasmax,validation_2006_2014,S3_cmip6_inputs,,KGE_vs_GridMET,0.036822566247012634,
tasmax,validation_2006_2014,S3_cmip6_inputs,,RMSE_vs_GridMET,272.8312072753906,
tasmax,validation_2006_2014,DOR,test8_v2,pooled_variance,163.020263671875,
tasmax,validation_2006_2014,DOR,test8_v2,p01_pooled,259.9747009277344,
tasmax,validation_2006_2014,DOR,test8_v2,p99_pooled,311.8065490722656,
tasmax,validation_2006_2014,DOR,test8_v2,lag1_domain_mean,0.9548031188786866,
tasmax,validation_2006_2014,DOR,test8_v2,seasonal_range_domain_mean,32.159210205078125,
tasmax,validation_2006_2014,DOR,test8_v2,pooled_skew,-0.3436073660850525,
tasmax,validation_2006_2014,DOR,test8_v2,pooled_cv,0.04412442445755005,
tasmax,validation_2006_2014,DOR,test8_v2,KGE_vs_GridMET,0.8005215511559103,
tasmax,validation_2006_2014,DOR,test8_v3,pooled_variance,163.020263671875,
tasmax,validation_2006_2014,DOR,test8_v3,p01_pooled,259.9747009277344,
tasmax,validation_2006_2014,DOR,test8_v3,p99_pooled,311.8065490722656,
tasmax,validation_2006_2014,DOR,test8_v3,lag1_domain_mean,0.9548031188786866,
tasmax,validation_2006_2014,DOR,test8_v3,seasonal_range_domain_mean,32.159210205078125,
tasmax,validation_2006_2014,DOR,test8_v3,pooled_skew,-0.3436073660850525,
tasmax,validation_2006_2014,DOR,test8_v3,pooled_cv,0.04412442445755005,
tasmax,validation_2006_2014,DOR,test8_v3,KGE_vs_GridMET,0.8005215511559103,
tasmax,validation_2006_2014,DOR,test8_v4,pooled_variance,163.020263671875,
tasmax,validation_2006_2014,DOR,test8_v4,p01_pooled,259.9747009277344,
tasmax,validation_2006_2014,DOR,test8_v4,p99_pooled,311.8065490722656,
