month,bias_mean,bias_std,n_days
1,29.864632994067094,21.384710106482586,279
2,42.64885277844059,31.236888322509213,254
3,39.10243933291513,43.56471278507955,279
4,52.995120396829925,59.81108622818609,270
5,47.49961089255894,55.74634716352447,279
6,34.48339652880229,45.227208919605715,270
7,21.002142260056576,36.38361076878834,279
8,35.65566344195417,37.324022119051534,279
9,29.99377877543002,41.71086458805654,270
10,37.20561437951479,37.4901580373921,279
11,35.714396319136696,24.73514738652956,270
12,34.14557978647347,19.803151719757807,279
