variable,window,product,pipeline_id,metric,value,note
pr,validation_2006_2014,GridMET,,pooled_variance,47.773319244384766,
pr,validation_2006_2014,GridMET,,p01_pooled,0.0,
pr,validation_2006_2014,GridMET,,p99_pooled,34.10000228881836,
pr,validation_2006_2014,GridMET,,lag1_domain_mean,0.3638295269503506,
pr,validation_2006_2014,GridMET,,seasonal_range_domain_mean,3.579348564147949,
pr,validation_2006_2014,GridMET,,wdf_pct,33.61242098502518,
pr,validation_2006_2014,GridMET,,wet_day_intensity_mmday,7.233687400817871,
pr,validation_2006_2014,GridMET,,pooled_skew,5.28015661239624,
pr,validation_2006_2014,GridMET,,pooled_cv,2.842298984527588,
pr,validation_2006_2014,S3_cmip6_inputs,,pooled_variance,36.87509536743164,
pr,validation_2006_2014,S3_cmip6_inputs,,p01_pooled,0.0,
pr,validation_2006_2014,S3_cmip6_inputs,,p99_pooled,30.238510131835938,
pr,validation_2006_2014,S3_cmip6_inputs,,lag1_domain_mean,0.4920690643309561,
pr,validation_2006_2014,S3_cmip6_inputs,,seasonal_range_domain_mean,2.95512056350708,
pr,validation_2006_2014,S3_cmip6_inputs,,wdf_pct,51.084045264669506,
pr,validation_2006_2014,S3_cmip6_inputs,,wet_day_intensity_mmday,4.9186625480651855,
pr,validation_2006_2014,S3_cmip6_inputs,,pooled_skew,4.451757431030273,
pr,validation_2006_2014,S3_cmip6_inputs,,pooled_cv,2.4094276428222656,
pr,validation_2006_2014,S3_cmip6_inputs,,KGE_vs_GridMET,0.017453441363222022,
pr,validation_2006_2014,S3_cmip6_inputs,,RMSE_vs_GridMET,9.072111129760742,
pr,validation_2006_2014,DOR,test8_v2,pooled_variance,43.84900665283203,
pr,validation_2006_2014,DOR,test8_v2,p01_pooled,0.0,
pr,validation_2006_2014,DOR,test8_v2,p99_pooled,31.78563117980957,
pr,validation_2006_2014,DOR,test8_v2,lag1_domain_mean,0.4192486609114696,
pr,validation_2006_2014,DOR,test8_v2,seasonal_range_domain_mean,2.553938388824463,
pr,validation_2006_2014,DOR,test8_v2,wdf_pct,34.16949671413864,
pr,validation_2006_2014,DOR,test8_v2,wet_day_intensity_mmday,6.877763271331787,
pr,validation_2006_2014,DOR,test8_v2,pooled_skew,6.252427577972412,
pr,validation_2006_2014,DOR,test8_v2,pooled_cv,2.817446231842041,
pr,validation_2006_2014,DOR,test8_v2,KGE_vs_GridMET,0.024357128784060045,
pr,validation_2006_2014,DOR,test8_v3,pooled_variance,51.79014587402344,
pr,validation_2006_2014,DOR,test8_v3,p01_pooled,0.0,
pr,validation_2006_2014,DOR,test8_v3,p99_pooled,33.96741485595703,
pr,validation_2006_2014,DOR,test8_v3,lag1_domain_mean,0.4185817109957417,
pr,validation_2006_2014,DOR,test8_v3,seasonal_range_domain_mean,2.8899986743927,
pr,validation_2006_2014,DOR,test8_v3,wdf_pct,37.76120644812582,
pr,validation_2006_2014,DOR,test8_v3,wet_day_intensity_mmday,6.71828031539917,
pr,validation_2006_2014,DOR,test8_v3,pooled_skew,6.667100429534912,
pr,validation_2006_2014,DOR,test8_v3,pooled_cv,2.836212396621704,
pr,validation_2006_2014,DOR,test8_v3,KGE_vs_GridMET,0.024647632173078304,
pr,validation_2006_2014,DOR,test8_v4,pooled_variance,52.891204833984375,
pr,validation_2006_2014,DOR,test8_v4,p01_pooled,0.0,
pr,validation_2006_2014,DOR,test8_v4,p99_pooled,34.27900695800781,
pr,validation_2006_2014,DOR,test8_v4,lag1_domain_mean,0.41714400036486077,
pr,validation_2006_2014,DOR,test8_v4,seasonal_range_domain_mean,2.89254093170166,
pr,validation_2006_2014,DOR,test8_v4,wdf_pct,34.57528328526434,
pr,validation_2006_2014,DOR,test8_v4,wet_day_intensity_mmday,7.347600936889648,
pr,validation_2006_2014,DOR,test8_v4,pooled_skew,6.6564860343933105,
pr,validation_2006_2014,DOR,test8_v4,pooled_cv,2.8624603748321533,
pr,validation_2006_2014,DOR,test8_v4,KGE_vs_GridMET,0.023699717167341205,
pr,validation_2006_2014,LOCA2,,pooled_variance,43.198394775390625,
pr,validation_2006_2014,LOCA2,,p01_pooled,0.0,
pr,validation_2006_2014,LOCA2,,p99_pooled,32.3779296875,
pr,validation_2006_2014,LOCA2,,lag1_domain_mean,0.440709317260436,
pr,validation_2006_2014,LOCA2,,seasonal_range_domain_mean,2.7684099674224854,
pr,validation_2006_2014,LOCA2,,wdf_pct,32.097732556610964,
pr,validation_2006_2014,LOCA2,,wet_day_intensity_mmday,7.154512405395508,
pr,validation_2006_2014,LOCA2,,pooled_skew,5.422137260437012,
pr,validation_2006_2014,LOCA2,,pooled_cv,2.8620643615722656,
pr,validation_2006_2014,LOCA2,,KGE_vs_GridMET,0.02291327465357229,
pr,validation_2006_2014,NEX,,pooled_variance,28.873178482055664,
pr,validation_2006_2014,NEX,,p01_pooled,0.0,
pr,validation_2006_2014,NEX,,p99_pooled,25.497373580932617,
pr,validation_2006_2014,NEX,,lag1_domain_mean,0.41902472190536355,
pr,validation_2006_2014,NEX,,seasonal_range_domain_mean,2.621659755706787,
pr,validation_2006_2014,NEX,,wdf_pct,36.72332458206102,
pr,validation_2006_2014,NEX,,wet_day_intensity_mmday,6.147017955780029,
pr,validation_2006_2014,NEX,,pooled_skew,3.8736281394958496,
pr,validation_2006_2014,NEX,,pooled_cv,2.3790225982666016,
pr,validation_2006_2014,NEX,,KGE_vs_GridMET,0.002701142275195023,
tasmax,validation_2006_2014,GridMET,,pooled_variance,169.19784545898438,
tasmax,validation_2006_2014,GridMET,,p01_pooled,260.0199890136719,
tasmax,validation_2006_2014,GridMET,,p99_pooled,312.4800109863281,
tasmax,validation_2006_2014,GridMET,,lag1_domain_mean,0.9624246615522147,
tasmax,validation_2006_2014,GridMET,,seasonal_range_domain_mean,31.201446533203125,
tasmax,validation_2006_2014,GridMET,,pooled_skew,-0.2999557554721832,
tasmax,validation_2006_2014,GridMET,,pooled_cv,0.045034248381853104,
tasmax,validation_2006_2014,S3_cmip6_inputs,,pooled_variance,165.97076416015625,
tasmax,validation_2006_2014,S3_cmip6_inputs,,p01_pooled,-13.031323432922363,
tasmax,validation_2006_2014,S3_cmip6_inputs,,p99_pooled,38.8598747253418,
tasmax,validation_2006_2014,S3_cmip6_inputs,,lag1_domain_mean,0.9652195272787568,
